Ownership__c,Registration_No__c,Expiry_Date__c,Chassis_No__c,Engine_No__c,Vehicle_Color__c,Vehicle_Type__c
Individual,2023-01-10,2033-01-10,CHS001XYZ123,ENGX12345,Red,Two wheeler
Company,2023-01-11,2033-01-11,CHS001XYZ124,ENGX12346,Black,four wheeler
Lease,2023-01-12,2033-01-12,CHS001XYZ125,ENGX12347,white,six wheeler
Individual,2023-01-13,2033-01-13,CHS001XYZ126,ENGX12348,Red,Two wheeler
Company,2023-01-14,2033-01-14,CHS001XYZ127,ENGX12349,Black,four wheeler
Lease,2023-01-15,2033-01-15,CHS001XYZ128,ENGX12350,white,six wheeler
Individual,2023-01-16,2033-01-16,CHS001XYZ129,ENGX12351,Red,Two wheeler
Company,2023-01-17,2033-01-17,CHS001XYZ130,ENGX12352,Black,four wheeler
Lease,2023-01-18,2033-01-18,CHS001XYZ131,ENGX12353,white,six wheeler
Individual,2023-01-19,2033-01-19,CHS001XYZ132,ENGX12354,Red,Two wheeler
Company,2023-01-20,2033-01-20,CHS001XYZ133,ENGX12355,Black,four wheeler
Lease,2023-01-21,2033-01-21,CHS001XYZ134,ENGX12356,white,six wheeler
Individual,2023-01-22,2033-01-22,CHS001XYZ135,ENGX12357,Red,Two wheeler
Company,2023-01-23,2033-01-23,CHS001XYZ136,ENGX12358,Black,four wheeler
Lease,2023-01-24,2033-01-24,CHS001XYZ137,ENGX12359,white,six wheeler
Individual,2023-01-25,2033-01-25,CHS001XYZ138,ENGX12360,Red,Two wheeler
Company,2023-01-26,2033-01-26,CHS001XYZ139,ENGX12361,Black,four wheeler
Lease,2023-01-27,2033-01-27,CHS001XYZ140,ENGX12362,white,six wheeler
Individual,2023-01-28,2033-01-28,CHS001XYZ141,ENGX12363,Red,Two wheeler
Company,2023-01-29,2033-01-29,CHS001XYZ142,ENGX12364,Black,four wheeler
Lease,2023-01-30,2033-01-30,CHS001XYZ143,ENGX12365,white,six wheeler
Individual,2023-01-31,2033-01-31,CHS001XYZ144,ENGX12366,Red,Two wheeler
Company,2023-02-01,2033-02-01,CHS001XYZ145,ENGX12367,Black,four wheeler
Lease,2023-02-02,2033-02-02,CHS001XYZ146,ENGX12368,white,six wheeler
Individual,2023-02-03,2033-02-03,CHS001XYZ147,ENGX12369,Red,Two wheeler
Company,2023-02-04,2033-02-04,CHS001XYZ148,ENGX12370,Black,four wheeler
